Name,Year,Latitude,Longitude,Country
 Ohio University Southern,1804,38.5249001,-82.6661593,US
 V. N. Karazin Kharkiv National University,1804,50.0072113,36.2305824,UA
 Yaroslav Mudryi National Law University,1804,50.0050426,36.2473445,UA
 Kharkiv National Medical University,1805,50.0093251,36.2292704,UA
 National University of Pharmacy,1805,50.0008149,36.2435198,UA
 Nizhyn Gogol State University,1805,51.0532393,31.8813245,UA
 Pennsylvania Academy of the Fine Arts,1805,39.9555986,-75.1631457,US
 Università degli Studi di Palermo,1806,38.11779,13.369838,IT
" University of Maryland, Baltimore",1807,39.2892017,-76.6257057,US
 Akademie der Bildenden Künste München,1808,48.1531594,11.5803561,DE
 Mount St. Mary's University,1808,39.6799914,-77.3486971,US
 Soproni Egyetem,1808,47.680273,16.5771423,HU
 Admiral Makarov State University of Maritime and Inland Shipping,1809,59.925524,30.2544851,RU
 Humboldt-Universität zu Berlin,1809,52.517883,13.3936551,DE
 Miami University,1809,39.5105334,-84.7308768,US
 Université Claude Bernard Lyon 1,1809,45.7795871,4.8656025,FR
 Université Jean Moulin Lyon 3,1809,45.7471871,4.8597505,FR
 Warszawski Uniwersytet Medyczny,1809,52.20601,20.9856226,PL
 Akademia Muzyczna im. Fryderyka Chopina w Warszawie,1810,52.2356926,21.0223154,PL
 Karolinska Institutet,1810,59.3481484,18.0236579,SE
 Scuola Normale Superiore di Pisa,1810,43.719601,10.40033,IT
 Universidad de Los Andes,1810,4.6014864,-74.0663881,CO
 Technische Universität Graz,1811,47.0691371,15.4503154,AT
 Universidad Nacional Experimental Marítima del Caribe,1811,10.6007141,-67.0320082,VE
 Universitetet i Oslo,1811,59.9399586,10.7217496,NO
 Hamilton College,1812,43.0537941,-75.4051029,US
 Lycoming College,1812,41.2446826,-76.9985323,US
 Universidad Autónoma de Yucatán,1812,20.9696428,-89.6230718,MX
" Universidad Nacional Autónoma de Nicaragua, León",1812,12.4369072,-86.8790596,NI
" Universidad Nacional Autónoma de Nicaragua, Managua",1812,12.1058595,-86.2707898,NI
 Colby College,1813,44.5638691,-69.6626362,US
 Gymnastik- och idrottshögskolan,1813,59.346769,18.0810552,SE
